title,img_path,description,price
Ковбойские сапоги,/images/boots.jpeg,"Культовая американская обувь из настоящей крокодильей кожи",65000
Кепка (бейсболка),/images/cap.jpeg,"Стильная кепка с регулируемым ремешком без лого. Выполнена из дышащего материала",2500
Цветочный букет,/images/flowers.jpeg,"Свежий букет с декоративной зеленью в стекляной вазе. Идеальный подарок для особых моментов",10000
Беспроводная компьютерная мышь,/images/mouse.jpeg,"Эргономичная беспроводная мышь с Bluetooth 5.0, подсветкой RGB и длительным временем работы от батареи",4000
Смартфон Flagship,/images/phone.jpeg,"Мощный смартфон с процессором последнего поколения, тройной камерой 108 Мп и AMOLED-дисплеем 120 Гц",89900
Плюшевый заяц,/images/rabbit.jpeg,"Мягкая плюшевая игрушка ручной работы, высотой 40 см, изготовлена из гипоаллергенного материала",1800
Эргономичный диван,/images/sofa.jpeg,"Просторный диван с ортопедическими подушками, механизмом трансформации и чехлом из экокожи",125000
Белая футболка,/images/tshort.jpeg,"Классическая белая футболка из 100% хлопка премиум качества, универсальный базовый элемент гардероба",1900
Телевизор 4K Smart TV,/images/tv.jpeg,"Телевизор с диагональю 55 дюймов, разрешением 4K Ultra HD, технологией HDR и встроенной Smart TV платформой",64900
Складной зонт,/images/umbrella.jpeg,"Автоматический складной зонт с двойным куполом, ветроустойчивой конструкцией и УФ-защитой",4200
Пылесос,/images/vacuum_cleaner.jpeg,"Отличный современный пылесос с функцией влажной уборки",32900
